;data;preco
0;2024-01-22;8170
1;2024-01-19;8071
2;2024-01-18;8104
3;2024-01-17;7888
4;2024-01-16;8015
5;2024-01-15;7976
6;2024-01-12;7989
7;2024-01-11;8021
8;2024-01-10;7846
9;2024-01-09;7797
10;2024-01-08;7547
11;2024-01-05;7831
12;2024-01-04;7579
13;2024-01-03;7718
14;2024-01-02;7624
15;2023-12-29;7769
16;2023-12-28;7904
17;2023-12-27;8097
18;2023-12-26;8023
19;2023-12-22;8023
20;2023-12-21;8073
21;2023-12-20;8110
22;2023-12-19;7982
23;2023-12-18;7889
24;2023-12-15;7684
25;2023-12-14;7705
26;2023-12-13;7414
27;2023-12-12;7411
28;2023-12-11;7575
29;2023-12-08;7594
30;2023-12-07;7421
31;2023-12-06;7433
32;2023-12-05;7727
33;2023-12-04;7816
34;2023-12-01;7872
35;2023-11-30;8172
36;2023-11-29;8298
37;2023-11-28;8166
38;2023-11-27;7949
39;2023-11-24;7982
40;2023-11-23;8085
41;2023-11-22;8176
42;2023-11-21;8242
43;2023-11-20;8325
44;2023-11-17;8122
45;2023-11-16;7773
46;2023-11-15;8240
47;2023-11-14;8420
48;2023-11-13;8409
49;2023-11-10;8366
50;2023-11-09;8174
51;2023-11-08;8146
52;2023-11-07;8343
53;2023-11-06;8731
54;2023-10-30;9073
55;2023-10-27;9073
56;2023-10-26;8845
57;2023-10-25;9014
58;2023-10-24;8800
59;2023-10-23;9188
60;2023-10-20;9372
61;2023-10-19;9312
62;2023-10-18;9199
63;2023-10-17;9252
64;2023-10-16;9099
65;2023-10-13;9433
66;2023-10-12;8840
67;2023-10-11;8758
68;2023-10-10;9070
69;2023-10-09;9137
70;2023-10-06;8786
71;2023-10-05;8828
72;2023-10-04;8983
73;2023-10-03;9446
74;2023-10-02;9121
75;2023-09-29;9586
76;2023-09-28;9655
77;2023-09-27;9710
78;2023-09-26;9446
79;2023-09-25;9401
80;2023-09-22;9399
81;2023-09-21;9370
82;2023-09-20;9456
83;2023-09-19;9611
84;2023-09-18;9595
85;2023-09-15;9555
86;2023-09-14;9520
87;2023-09-13;9304
88;2023-09-12;9358
89;2023-09-11;9197
90;2023-09-08;9185
91;2023-09-07;9116
92;2023-09-06;9179
93;2023-09-05;9125
94;2023-09-04;9042
95;2023-08-31;8729
96;2023-08-30;8662
97;2023-08-29;8637
98;2023-08-25;8542
99;2023-08-24;8407
100;2023-08-23;8394
101;2023-08-22;8470
102;2023-08-21;8544
103;2023-08-18;8592
104;2023-08-17;8524
105;2023-08-16;8449
106;2023-08-15;8628
107;2023-08-14;8740
108;2023-08-11;8793
109;2023-08-10;8744
110;2023-08-09;8931
111;2023-08-08;8800
112;2023-08-07;8647
113;2023-08-04;8738
114;2023-08-03;8619
115;2023-08-02;8401
116;2023-08-01;8534
117;2023-07-31;8522
118;2023-07-28;8449
119;2023-07-27;8428
120;2023-07-26;8298
121;2023-07-25;8346
122;2023-07-24;8253
123;2023-07-21;8106
124;2023-07-20;7962
125;2023-07-19;7938
126;2023-07-18;7954
127;2023-07-17;7780
128;2023-07-15;7780
129;2023-07-14;7990
130;2023-07-13;8131
131;2023-07-12;8035
132;2023-07-11;7954
133;2023-07-10;7783
134;2023-07-08;7783
135;2023-07-07;7877
136;2023-07-06;7672
137;2023-07-05;7674
138;2023-07-04;7623
139;2023-07-03;7452
140;2023-06-30;7451
141;2023-06-29;7386
142;2023-06-28;7364
143;2023-06-27;7188
144;2023-06-26;7386
145;2023-06-23;7356
146;2023-06-22;7393
147;2023-06-21;7692
148;2023-06-20;7579
149;2023-06-19;7609
150;2023-06-16;7676
151;2023-06-15;7575
152;2023-06-14;7339
153;2023-06-13;7424
154;2023-06-12;7180
155;2023-06-09;7474
156;2023-06-08;7588
157;2023-06-07;7685
158;2023-06-06;7622
159;2023-06-05;7661
160;2023-06-02;7600
161;2023-06-01;7418
162;2023-05-31;7198
163;2023-05-30;7338
164;2023-05-26;7633
165;2023-05-25;7566
166;2023-05-24;7799
167;2023-05-23;7666
168;2023-05-22;7577
169;2023-05-19;7542
170;2023-05-18;7575
171;2023-05-17;7698
172;2023-05-16;7515
173;2023-05-15;7546
174;2023-05-12;7454
175;2023-05-11;7532
176;2023-05-10;7670
177;2023-05-09;7776
178;2023-05-05;7585
179;2023-05-04;7300
180;2023-05-03;7291
181;2023-05-02;7671
182;2023-04-28;8132
183;2023-04-27;8011
184;2023-04-26;7919
185;2023-04-25;8213
186;2023-04-24;8423
187;2023-04-21;8336
188;2023-04-20;8329
189;2023-04-19;8534
190;2023-04-18;8548
191;2023-04-17;8563
192;2023-04-14;8731
193;2023-04-13;8651
194;2023-04-12;8831
195;2023-04-11;8732
196;2023-04-10;8656
197;2023-04-06;8656
198;2023-04-05;8589
199;2023-04-04;8570
200;2023-04-03;8581
201;2023-03-31;7919
202;2023-03-30;7845
203;2023-03-29;7751
204;2023-03-28;7807
205;2023-03-27;7680
206;2023-03-24;7363
207;2023-03-23;7431
208;2023-03-22;7608
209;2023-03-21;7478
210;2023-03-20;7242
211;2023-03-17;7103
212;2023-03-16;7312
213;2023-03-15;7430
214;2023-03-14;7677
215;2023-03-13;7967
216;2023-03-10;8230
217;2023-03-09;8100
218;2023-03-08;8210
219;2023-03-07;8303
220;2023-03-06;8586
221;2023-03-03;8574
222;2023-03-02;8415
223;2023-03-01;8368
224;2023-02-28;8321
225;2023-02-27;8124
226;2023-02-24;8231
227;2023-02-23;8208
228;2023-02-22;7955
229;2023-02-21;8214
230;2023-02-20;8279
231;2023-02-17;8197
232;2023-02-16;8384
233;2023-02-15;8411
234;2023-02-14;8496
235;2023-02-13;8598
236;2023-02-10;8546
237;2023-02-09;8346
238;2023-02-08;8417
239;2023-02-07;8292
240;2023-02-06;8048
241;2023-02-03;7885
242;2023-02-02;8057
243;2023-02-01;8161
244;2023-01-31;8342
245;2023-01-30;8490
246;2023-01-27;8536
247;2023-01-26;8629
248;2023-01-25;8508
249;2023-01-24;8525
250;2023-01-23;8796
251;2023-01-20;8696
252;2023-01-19;8508
253;2023-01-18;8378
254;2023-01-17;8438
255;2023-01-16;8265
256;2023-01-13;8343
257;2023-01-12;8259
258;2023-01-11;8111
259;2023-01-10;7840
260;2023-01-09;7750
261;2023-01-06;7641
262;2023-01-05;7673
263;2023-01-04;7531
264;2023-01-03;8036
265;2023-01-02;8282
266;2022-12-30;8282
267;2022-12-29;8096
268;2022-12-28;8170
269;2022-12-27;8245
270;2022-12-23;8245
271;2022-12-22;7958
272;2022-12-21;8025
273;2022-12-20;7945
274;2022-12-19;8166
275;2022-12-16;8020
276;2022-12-15;8234
277;2022-12-14;8333
278;2022-12-13;8014
279;2022-12-12;7800
280;2022-12-09;7637
281;2022-12-08;7602
282;2022-12-07;7711
283;2022-12-06;7992
284;2022-12-05;8336
285;2022-12-02;8654
286;2022-12-01;8628
287;2022-11-30;8561
288;2022-11-29;8322
289;2022-11-28;8350
290;2022-11-25;8340
291;2022-11-24;8559
292;2022-11-23;8590
293;2022-11-22;8865
294;2022-11-21;8844
295;2022-11-18;8893
296;2022-11-17;9100
297;2022-11-16;9261
298;2022-11-15;9430
299;2022-11-14;9359
300;2022-11-11;9637
301;2022-11-10;9425
302;2022-11-09;9305
303;2022-11-08;9685
304;2022-11-07;9987
305;2022-11-04;9953
306;2022-11-03;9529
307;2022-11-02;9607
308;2022-11-01;9512
309;2022-10-31;9330
310;2022-10-28;9464
311;2022-10-27;9417
312;2022-10-26;9293
313;2022-10-25;9176
314;2022-10-24;9157
315;2022-10-21;9182
316;2022-10-20;9152
317;2022-10-19;9134
318;2022-10-18;8946
319;2022-10-17;9104
320;2022-10-14;9222
321;2022-10-13;9516
322;2022-10-12;9344
323;2022-10-11;9517
324;2022-10-10;9713
325;2022-10-07;9888
326;2022-10-06;9565
327;2022-10-05;9435
328;2022-10-04;9374
329;2022-10-03;9068
330;2022-09-30;8890
331;2022-09-29;8941
332;2022-09-28;8955
333;2022-09-27;8597
334;2022-09-26;8255
335;2022-09-23;8429
336;2022-09-22;9040
337;2022-09-21;8986
338;2022-09-20;8962
339;2022-09-19;8943
340;2022-09-16;8943
341;2022-09-15;8928
342;2022-09-14;9283
343;2022-09-13;9204
344;2022-09-12;9345
345;2022-09-09;9168
346;2022-09-08;8799
347;2022-09-07;8683
348;2022-09-06;9143
349;2022-09-05;9422
350;2022-09-02;9309
351;2022-09-01;9224
352;2022-08-31;9655
353;2022-08-30;9934
354;2022-08-26;10113
355;2022-08-25;9881
356;2022-08-24;9987
357;2022-08-23;9949
358;2022-08-22;9506
359;2022-08-19;9645
360;2022-08-18;9635
361;2022-08-17;9722
362;2022-08-16;9536
363;2022-08-15;9825
364;2022-08-12;10370
365;2022-08-11;10719
366;2022-08-10;10506
367;2022-08-09;10381
368;2022-08-08;10346
369;2022-08-05;10031
370;2022-08-04;9799
371;2022-08-03;10182
372;2022-08-02;10651
373;2022-08-01;10609
374;2022-07-29;11151
375;2022-07-28;10968
376;2022-07-27;10964
377;2022-07-26;10732
378;2022-07-25;10823
379;2022-07-22;10677
380;2022-07-21;11281
381;2022-07-20;11586
382;2022-07-19;11496
383;2022-07-18;11727
384;2022-07-15;11226
385;2022-07-14;10774
386;2022-07-13;10717
387;2022-07-12;10698
388;2022-07-11;11485
389;2022-07-08;11395
390;2022-07-07;11340
391;2022-07-06;10854
392;2022-07-05;11049
393;2022-07-04;12180
394;2022-07-01;11921
395;2022-06-30;11978
396;2022-06-29;12080
397;2022-06-28;12221
398;2022-06-27;11969
399;2022-06-24;11736
400;2022-06-23;11450
401;2022-06-22;11554
402;2022-06-21;11851
403;2022-06-20;11825
404;2022-06-17;11922
405;2022-06-16;12578
406;2022-06-15;12496
407;2022-06-14;12702
408;2022-06-13;12844
409;2022-06-10;12744
410;2022-06-09;12847
411;2022-06-08;12920
412;2022-06-07;12689
413;2022-06-06;12499
414;2022-06-03;12568
415;2022-06-01;12220
416;2022-05-31;12553
417;2022-05-30;12301
418;2022-05-27;12119
419;2022-05-26;11981
420;2022-05-25;11641
421;2022-05-24;11577
422;2022-05-23;11513
423;2022-05-20;11363
424;2022-05-19;11322
425;2022-05-18;11004
426;2022-05-17;11289
427;2022-05-16;11486
428;2022-05-13;11212
429;2022-05-12;10806
430;2022-05-11;10770
431;2022-05-10;10261
432;2022-05-09;10667
433;2022-05-06;11386
434;2022-05-05;11211
435;2022-05-04;11053
436;2022-05-03;10494
437;2022-05-02;10836
438;2022-04-29;10836
439;2022-04-28;10578
440;2022-04-27;10330
441;2022-04-26;10289
442;2022-04-25;9927
443;2022-04-22;10515
444;2022-04-21;10720
445;2022-04-20;10505
446;2022-04-19;10549
447;2022-04-18;11083
448;2022-04-14;11083
449;2022-04-13;10849
450;2022-04-12;10442
451;2022-04-11;9792
452;2022-04-08;10126
453;2022-04-07;9983
454;2022-04-06;10081
455;2022-04-05;10660
456;2022-04-04;10815
457;2022-04-01;10613
458;2022-03-31;10729
459;2022-03-30;11559
460;2022-03-29;11279
461;2022-03-28;11450
462;2022-03-25;12267
463;2022-03-24;12398
464;2022-03-23;12752
465;2022-03-22;12153
466;2022-03-21;12229
467;2022-03-18;11432
468;2022-03-17;11350
469;2022-03-16;10461
470;2022-03-15;10514
471;2022-03-14;11039
472;2022-03-11;11811
473;2022-03-10;11454
474;2022-03-09;11658
475;2022-03-08;13318
476;2022-03-07;12902
477;2022-03-04;12386
478;2022-03-03;11536
479;2022-03-02;11894
480;2022-03-01;11093
481;2022-02-28;10308
482;2022-02-25;9856
483;2022-02-24;10129
484;2022-02-23;9929
485;2022-02-22;9873
486;2022-02-21;9895
487;2022-02-18;9618
488;2022-02-17;9528
489;2022-02-16;9744
490;2022-02-15;9843
491;2022-02-14;10166
492;2022-02-11;9750
493;2022-02-10;9637
494;2022-02-09;9495
495;2022-02-08;9607
496;2022-02-07;9728
497;2022-02-04;9686
498;2022-02-03;9299
499;2022-02-02;9143
500;2022-02-01;9024
501;2022-01-31;9235
502;2022-01-28;9147
503;2022-01-27;9070
504;2022-01-26;9122
505;2022-01-25;8949
506;2022-01-24;8774
507;2022-01-21;8975
508;2022-01-20;8975
509;2022-01-19;8964
510;2022-01-18;8883
511;2022-01-17;8782
512;2022-01-14;8717
513;2022-01-13;8580
514;2022-01-12;8583
515;2022-01-11;8498
516;2022-01-10;8156
517;2022-01-07;8228
518;2022-01-06;8199
519;2022-01-05;8060
520;2022-01-04;7939
521;2022-01-03;7825
522;2021-12-31;7724
523;2021-12-30;7861
524;2021-12-29;7863
525;2021-12-27;7524
526;2021-12-24;7524
527;2021-12-23;7626
528;2021-12-22;7469
529;2021-12-21;7285
530;2021-12-20;7051
531;2021-12-17;7297
532;2021-12-16;7464
533;2021-12-15;7371
534;2021-12-14;7337
535;2021-12-13;7412
536;2021-12-10;7498
537;2021-12-09;7410
538;2021-12-08;7594
539;2021-12-07;7554
540;2021-12-06;7338
541;2021-12-03;7071
542;2021-12-02;7056
543;2021-12-01;6953
544;2021-11-30;7086
545;2021-11-29;7334
546;2021-11-26;7237
547;2021-11-25;8205
548;2021-11-24;8237
549;2021-11-23;8343
550;2021-11-22;8097
551;2021-11-19;8024
552;2021-11-18;8245
553;2021-11-17;8067
554;2021-11-16;8285
555;2021-11-15;8194
556;2021-11-12;8290
557;2021-11-11;8340
558;2021-11-10;8291
559;2021-11-09;8452
560;2021-11-08;8322
561;2021-11-05;8243
562;2021-11-04;8015
563;2021-11-03;8110
564;2021-11-02;8442
565;2021-11-01;8451
566;2021-10-29;8310
567;2021-10-28;8340
568;2021-10-27;8412
569;2021-10-26;8511
570;2021-10-25;8485
571;2021-10-22;8543
572;2021-10-21;8458
573;2021-10-20;8576
574;2021-10-19;8502
575;2021-10-18;8413
576;2021-10-15;8467
577;2021-10-14;8386
578;2021-10-13;8353
579;2021-10-12;8353
580;2021-10-11;8375
581;2021-10-08;8217
582;2021-10-07;8234
583;2021-10-06;8139
584;2021-10-05;8272
585;2021-10-04;8144
586;2021-10-01;7940
587;2021-09-30;7781
588;2021-09-29;7786
589;2021-09-28;7830
590;2021-09-27;7885
591;2021-09-24;7742
592;2021-09-23;7644
593;2021-09-22;7550
594;2021-09-21;7365
595;2021-09-20;7359
596;2021-09-17;7464
597;2021-09-16;7514
598;2021-09-15;7484
599;2021-09-14;7305
600;2021-09-13;7297
601;2021-09-10;7244
602;2021-09-09;7132
603;2021-09-08;7236
604;2021-09-07;7152
605;2021-09-06;7243
606;2021-09-03;7307
607;2021-09-02;7356
608;2021-09-01;7199
609;2021-08-31;7345
610;2021-08-27;7226
611;2021-08-26;7042
612;2021-08-25;7212
613;2021-08-24;7121
614;2021-08-23;6907
615;2021-08-20;6551
616;2021-08-19;6680
617;2021-08-18;6861
618;2021-08-17;6940
619;2021-08-16;7007
620;2021-08-13;7090
621;2021-08-12;7179
622;2021-08-11;7199
623;2021-08-10;7114
624;2021-08-09;6965
625;2021-08-06;7102
626;2021-08-05;7214
627;2021-08-04;7099
628;2021-08-03;7324
629;2021-08-02;7391
630;2021-07-30;7772
631;2021-07-29;7630
632;2021-07-28;7509
633;2021-07-27;7487
634;2021-07-26;7479
635;2021-07-23;7486
636;2021-07-22;7425
637;2021-07-21;7254
638;2021-07-20;7003
639;2021-07-19;6933
640;2021-07-16;7446
641;2021-07-15;7453
642;2021-07-14;7574
643;2021-07-13;7750
644;2021-07-12;7677
645;2021-07-09;7714
646;2021-07-08;7507
647;2021-07-07;7431
648;2021-07-06;7581
649;2021-07-05;7834
650;2021-07-02;7751
651;2021-07-01;7669
652;2021-06-30;7694
653;2021-06-29;7538
654;2021-06-28;7478
655;2021-06-25;7645
656;2021-06-24;7595
657;2021-06-23;7522
658;2021-06-22;7492
659;2021-06-21;7449
660;2021-06-18;7310
661;2021-06-17;7292
662;2021-06-16;7388
663;2021-06-15;7338
664;2021-06-14;7227
665;2021-06-11;7205
666;2021-06-10;7165
667;2021-06-09;7131
668;2021-06-08;7139
669;2021-06-07;7089
670;2021-06-04;7130
671;2021-06-03;7071
672;2021-06-02;7060
673;2021-06-01;7003
674;2021-05-28;6936
675;2021-05-27;6943
676;2021-05-26;6893
677;2021-05-25;6880
678;2021-05-24;6859
679;2021-05-21;6672
680;2021-05-20;6518
681;2021-05-19;6688
682;2021-05-18;6901
683;2021-05-17;6962
684;2021-05-14;6924
685;2021-05-13;6736
686;2021-05-12;6962
687;2021-05-11;6883
